IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.105.128.153,2,2,0.00,65.30,43.61,NRT
209.33.166.49,2,2,0.00,55.35,25.64,HKG
52.195.211.96,2,2,0.00,50.59,23.59,NRT
13.115.208.4,2,2,0.00,57.50,23.23,NRT
160.16.123.110,2,2,0.00,73.47,23.11,NRT
160.16.62.225,2,2,0.00,60.21,21.06,NRT
155.117.82.92,2,2,0.00,63.85,21.05,HKG
52.193.2.88,2,2,0.00,56.15,19.33,NRT
68.64.182.177,2,2,0.00,50.63,18.21,HKG
172.237.6.212,2,2,0.00,67.14,17.59,NRT
216.23.93.131,2,2,0.00,52.50,17.39,HKG
52.194.151.107,2,2,0.00,55.86,16.67,NRT
43.247.135.181,2,2,0.00,54.19,15.92,HKG
167.148.203.3,2,2,0.00,64.12,15.41,HKG
172.104.77.231,2,2,0.00,67.96,15.30,NRT
